
fuzzy_threshold=100
did 	 dtitle 	 dauthor 	 dvenue 	 dyear 	 drowid
zlbJ-7JZdP0J	overview data wareh olap technolog	chaudhuri dayal	"sigmod record,"	1997	48833
conf/sigmod/TheobaldW02	xxl search engin rank retriev xml data use index ontolog	theobald weikum	sigmod conference	2002	569
w5_HkketH-wJ	xxl search engin rank retriev xml data use index ontolog	theobald weikum	"sigmod conference,"	2002	18324
journals/sigmod/McHughAGQW97	lore databas manag system semistructur data	mchugh abiteboul goldman quass widom	sigmod record	1997	570
FUXcNB3HHi4J	lore databas manag system semistructur data	mchugh abiteboul goldman quass widom	"sigmod record,"	1997	43470
journals/sigmod/FrewD97	data manag earth system scienc	frew dozier	sigmod record	1997	574
5jMT1PENhSIJ	data manag earth system scienc	frew dozier	"sigmod record,"	1997	7924
conf/sigmod/ChenRW02	xcach semant cach system xml queri	chen rundensteiner wang	sigmod conference	2002	575
05ShsIGjnKkJ	xcach semant cach system xml queri	chen rundensteiner wang	"proceedings of the 2002 acm sigmod international conference  &hellip;,"	2002	34728
conf/sigmod/RundensteinerWYD02	xmdvtool visual interact data explor trend discoveri highdimension data set	rundensteiner ward yang doshi	sigmod conference	2002	577
7MfXAAdBQ2EJ	xmdvtool visual interact data explor trend discoveri highdimension data set	rundensteiner ward yang doshi	"sigmod conference,"	2002	2592
conf/sigmod/LuWYBLY02	xbase make gigabyt disk queriabl	wang bao	sigmod conference	2002	579
JKQ1qE-naxQJ	xbase make gigabyt disk queriabl	wang bao	"proceedings of the 2002 acm sigmod international conference  &hellip;,"	2002	54144
journals/sigmod/ChangGKRS98	databas research columbia univers	chang gravano kaiser ross stolfo	sigmod record	1998	581
url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D290607%26type%3Dpdf%26dl%3Dportal%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	databas research columbia univers	chang gravano kaiser ross stolfo	"sigmod record,"	1998	53127
journals/sigmod/FlorescuLM98	databas techniqu worldwid web survey	florescu levy mendelzon	sigmod record	1998	584
23GbcclZy6gJ	databas techniqu worldwid web survey acm sigmod record	florescu levy mendelzon		1998	17296
journals/sigmod/FlorescuLM98	databas techniqu worldwid web survey	florescu levy mendelzon	sigmod record	1998	584
_SR_pRTnA6IJ	databas techniqu worldwid web survey	florescu levy mendelzon	"sigmod record,"	1998	29830
journals/sigmod/KeetonPH98	case intellig disk idisk	keeton patterson hellerstein	sigmod record	1998	585
6MtRlhEClPEJ	case intellig disk idisk	keeton patterson hellerstein	"sigmod record,"	1998	37298
journals/sigmod/KeetonPH98	case intellig disk idisk	keeton patterson hellerstein	sigmod record	1998	585
9xH94cKF-CYJ	case intellig disk disk	keeton patterson hellerstein	"sigmod record,"	1998	63583
journals/sigmod/Lomet98	btree page size cach consid	lomet	sigmod record	1998	588
xLM0YVcccUgJ	btree page size cach consid	lomet	"sigmod record,"	1998	6108
journals/sigmod/GriffinK98	algebra chang propag semijoin outerjoin queri	griffin kumar	sigmod record	1998	589
Qvl2bcDAyqEJ	algebra chang propag semijoin outerjoin queri	griffin kumar	"sigmod record,"	1998	13297
journals/sigmod/TsotrasJS98	extens notat spatiotempor index queri	tsotras jensen snodgrass	sigmod record	1998	594
nZqTcLNZzQoJ	notat spatiotempor queri	tsotras jensen snodgrass	"acm sigmod record,"	1998	19228
journals/sigmod/TsotrasJS98	extens notat spatiotempor index queri	tsotras jensen snodgrass	sigmod record	1998	594
f3-E7x12K4gJ	extens notat spatiotempor index queri	tsotras jensen snodgrass	"sigmod record,"	1998	31831
journals/sigmod/BurtonM98	applic java program languag databas manag	burton marek	sigmod record	1998	595
LOXd8JPfhpwJ	applic java program languag databas manag	burton marek	"sigmod record,"	1998	11440
conf/sigmod/ChaudhuriDN01	robust optimizationbas approach approxim answer aggreg queri	chaudhuri das narasayya	sigmod conference	2001	597
qfohkpyTawoJ	robust optimizationbas approach approxim answer aggreg queri	chaudhuri das narasayya	"sigmod conference,"	2001	52570
conf/sigmod/SlivinskasJS01	adapt queri optim evalu tempor middlewar	slivinskas jensen snodgrass	sigmod conference	2001	599
oAVbM_vepr8J	adapt queri optim evalu tempor middlewar	slivinskas jensen snodgrass	"sigmod conference,"	2001	60994
journals/sigmod/KappelR98	trig activ objectori databas system  overview	kappel retschitzegger	sigmod record	1998	604
tbZ0J3HLI18J	trig activ objectori databas system  overview	kappel retschitzegger	"sigmod record,"	1998	32502
conf/sigmod/LeeWMS01	dynam buffer alloc videoondemand system	lee whang moon song	sigmod conference	2001	610
OFXL5KsJiWcJ	dynam buffer alloc videoondemand system	lee whang moon song	"sigmod conference,"	2001	10869
conf/sigmod/HanPLJ01	dnamin system prototyp mine dna sequenc	han jamil chen liao pei	sigmod conference	2001	611
H_tzR6yoJLEJ	dnamin system prototyp mine dna sequenc	han jamil chen liao pei	"proceedings of the 2001 acm sigmod international conference  &hellip;,"	2001	31388
journals/sigmod/Seshadri98	predat resourc databas research	seshadri	sigmod record	1998	614
_nIg_hi8PAAJ	predat resourc databas research	seshadri	"sigmod record,"	1998	63668
journals/sigmod/Roussopoulos98	materi view data warehous	roussopoulos	sigmod record	1998	615
GfjHZswtM0EJ	materi view data warehous	roussopoulos	"sigmod record,"	1998	55314
conf/sigmod/CandanLLHA01	enabl dynam content cach databasedriven web site	candan luo hsiung agrawal	sigmod conference	2001	619
efYVCK07AwMJ	enabl dynam content cach databasedriven web site	candan luo hsiung agrawal	"proceedings of the 2001 acm sigmod international conference  &hellip;,"	2001	63354
conf/sigmod/YanMHF01	datadriven understand refin schema map	yan miller haas fagin	sigmod conference	2001	624
8hRWaIVZ2ykJ	datadriven understand refin schema map	yan miller haas fagin	"sigmod conference,"	2001	45610
journals/sigmod/Han98	toward onlin analyt mine larg databas	han	sigmod record	1998	625
Y0GdVVrbzfQJ	toward onlin analyt mine larg databas	han	"sigmod record,"	1998	30666
conf/sigmod/HanPDW01	effici comput iceberg cube complex measur	han pei dong wang	sigmod conference	2001	626
ue3gCyIirokJ	effici comput iceberg cube complex measur	han pei dong wang	"sigmod conference,"	2001	51606
journals/sigmod/Rosenthal98	object techonolog drive data administr	rosenthal	sigmod record	1998	629
ZMMeRrWUlOoJ	object technolog drive data administr	rosenthal	"sigmod record,"	1998	39499
conf/sigmod/BorkarDS01	automat segment text structur record	borkar deshmukh sarawagi	sigmod conference	2001	630
8zFEVer1rBUJ	automat segment text structur record	borkar deshmukh sarawagi	"sigmod conference,"	2001	21607
journals/sigmod/Bernstein98	repositori object orient databas	bernstein	sigmod record	1998	632
AYEI8XDoY9wJ	repositori object orient databas	bernstein	"sigmod record,"	1998	2882
journals/sigmod/KoksalAD98	workflow histori manag	koksal arpinar dogac	sigmod record	1998	633
enYoi4XT7n0J	workflow histori manag	koksal arpinar dogac	"sigmod record,"	1998	57867
conf/sigmod/OlstonWL01	adapt precis set cach approxim valu	olston loo widom	sigmod conference	2001	634
I_YprPVQ45QJ	adapt precis set cach approxim valu	olston loo widom	"sigmod conference,"	2001	54299
journals/sigmod/Manola98	toward richer web object model	manola	sigmod record	1998	635
VIjfH9f94xkJ	toward richer web object model	manola	"sigmod record,"	1998	52686
conf/sigmod/GodfreyGXZ01	exploit constraintlik data character queri optim	godfrey gryz zuzarte	sigmod conference	2001	638
LNnvt5TpBhkJ	exploit constraintlik data character queri optim	godfrey gryz zuzarte	"sigmod conference,"	2001	17907
journals/sigmod/ChangASS98	t2 customiz parallel databas multidimension data	chang acharya sussman saltz	sigmod record	1998	640
CPzROuDNZqgJ	t2 customiz parallel databas multidimension data	chang acharya sussman saltz	"sigmod record,"	1998	63016
journals/sigmod/BrunieK96	control strategi complex relat queri process share noth system	brunie kosch	sigmod record	1996	643
spI2g7jFHuYJ	control strategi complex relat queri process share noth system	brunie kosch	"sigmod record,"	1996	52538
conf/sigmod/LangS01	model highdimension index structur use sampl	lang singh	sigmod conference	2001	647
FFQc9XpGFRsJ	model highdimension index structur use sampl	lang singh	"sigmod conference,"	2001	38478
journals/sigmod/NormanZT96	much ado sharednoth	norman zurek thanisch	sigmod record	1996	648
rPFgPOAANuQJ	much ado sharednoth	norman zurek thanisch	"sigmod record,"	1996	21678
conf/sigmod/Meseck01	data manag last impact wild wild web	meseck	sigmod conference	2001	650
hWiIngXs5I0J	data manag last impact wild wild web	meseck	"sigmod conference,"	2001	56182
journals/sigmod/HasanFV96	open issu parallel queri optim	hasan florescu valduriez	sigmod record	1996	652
m2CCumFeAWgJ	open issu parallel queri optim	hasan florescu valduriez	"sigmod record,"	1996	43259
journals/sigmod/Dogac96	middl east technic univers softwar research develop center	dogac	sigmod record	1996	654
url:http://portal.acm.org/citation.cfm%3Fid%3D234889.234900%26dl%3DGUIDE%26dl%3DACM%26idx%3DJ689%26part%3Dperiodical%26WantType%3Dperiodical%26title%3DACM%2520SIGMOD%2520Record%26CFID%3D11111111%26CFTOKEN%3D2222222	middl east technic univers softwar research develop center	dogac	"acm sigmod record,"	1996	45732
conf/sigmod/ShahC01	faulttoler loadbalanc queri telegraph	shah chandrasekaran	sigmod conference	2001	655
2wGOv6yh4yIJ	faulttoler loadbalanc queri telegraph	shah chandrasekaran	"proceedings of the 2001 acm sigmod international conference  &hellip;,"	2001	6248
journals/sigmod/BilirisP96	bess object storag manag architectur overview	biliris panagos	sigmod record	1996	656
fu9j50Kk4Y4J	bess object storag manag architectur overview	biliris panagos	"sigmod record,"	1996	1397
journals/sigmod/Colliat96	olap relat multidimension databas system	colliat	sigmod record	1996	659
FP-ribG9oVsJ	olap relat multidimension databas system	colliat	"sigmod record,"	1996	29173
conf/sigmod/Larson01	xml data manag go nativ spruce relat system panel abstract	larson	sigmod conference	2001	660
url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D375792%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	xml data manag go nativ spruce relat system	larson	"sigmod record,"	2001	19516
journals/sigmod/Qian96a	scientist call upon take action	qian	sigmod record	1996	663
url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D234903%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	scientist call upon take action	qian	"sigmod record,"	1996	46783
conf/sigmod/GoldsteinL01	optim queri use materi view practic scalabl solut	goldstein larson	sigmod conference	2001	664
dxvwQEOjBJQJ	optim queri use materi view	goldstein larson		2001	31843
conf/sigmod/GoldsteinL01	optim queri use materi view practic scalabl solut	goldstein larson	sigmod conference	2001	664
xufwWHmOf6IJ	optim queri use materi view practic scalabl solut	goldstein larson	"sigmod conference,"	2001	31971
conf/sigmod/ShouCTRH01	review real time virtual walkthrough system	shou chionh tan ruan huang	sigmod conference	2001	666
url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D375755%26type%3Dpdf%26dl%3DGUIDE%26dl%3DGUIDE%26CFID%3D11111111%26CFTOKEN%3D2222222	review realtim virtual walkthrough system	shou chionh huang ruan tan	"sigmod record,"	2001	59035
conf/sigmod/MistryRSR01	materi view select mainten use multiqueri optim	mistry roy sudarshan ramamritham	sigmod conference	2001	669
r62IMncHe0IJ	materi view select mainten use multiqueri optim	mistry roy sudarshan ramamritham	"sigmod conference,"	2001	56345
journals/sigmod/LinP96	enhanc extern consist realtim transact	lin peng	sigmod record	1996	671
mzEHvKsUv5QJ	enhanc extern consist realtim transact	lin peng	"acm sigmod record,"	1996	39748
conf/sigmod/GionisGK01	effici tunabl similar set retriev	gionis gunopulos koudas	sigmod conference	2001	672
cy_Fe935WMAJ	effici tumbl similar set retriev	gionis gunopulos koudas	"proceedings of the 2001 acm sigmod international conference  &hellip;,"	2001	64144
journals/sigmod/SilberschatzSU96	databas research achiev opportun 21st centuri	silberschatz stonebraker ullman	sigmod record	1996	674
3nXBlVy0-HUJ	databas research achiev opportun 1st centuri	silberschatz stonebraker ullman	"acm sigmod record,"	1996	31383
journals/sigmod/SilberschatzSU96	databas research achiev opportun 21st centuri	silberschatz stonebraker ullman	sigmod record	1996	674
_ZsI_bVIJMwJ	databas research achiev opportun 21st centuri	silberschatz stonebraker ullman	"sigmod record,"	1996	42509
journals/sigmod/PhatakSSS96	databas research indian institut technolog bombay	phatak sarda seshadri sudarshan	sigmod record	1996	676
url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D381897%26type%3Dpdf%26dl%3Dportal%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	databas research indian institut technolog bombay	phatak sarda seshadri sudarshan	"sigmod record,"	1996	30709
conf/sigmod/BertinoCF01	secur xml document authorx project demonstr	bertino castano ferrari	sigmod conference	2001	679
JSzfxAgs4pgJ	secur xml document authorx project demonstr	bertino castano ferrari	"proceedings of the 2001 acm sigmod international conference  &hellip;,"	2001	38047
conf/sigmod/BabuGR01	spartan modelbas semant compress system massiv data tabl	babu garofalakis rastogi	sigmod conference	2001	682
zQCRmiH6jo4J	quot spartan modelbas semant compress system massiv data tabl	babu garofalakis rastogi	"acm sigmod record,"	2001	19495
journals/sigmod/SonDT96	improv timeli realtim secur databas system	son david thuraisingham	sigmod record	1996	683
62uEWBKYqgoJ	improv timeli realtim secur databas system	son david thuraisingham	"sigmod record,"	1996	61843
journals/sigmod/AdelbergKG96	overview stanford realtim inform processor strip	adelberg kao garciamolina	sigmod record	1996	685
GfiQygac5twJ	overview stanford realtim inform processor strip	adelberg kao garciamolina	"sigmod record,"	1996	55397
conf/sigmod/GreenwaldK01	spaceeffici onlin comput quantil summari	greenwald khanna	sigmod conference	2001	686
8but_7FuryIJ	spaceeffici onlin comput quantil summari	greenwald khanna	"sigmod conference,"	2001	49552
conf/sigmod/DraperHW01	nimbl integr engin	draper halevy weld	sigmod conference	2001	687
sURGDemFSsUJ	nimbl integr engin	draper halevy weld	"proceedings of the 2001 acm sigmod international conference  &hellip;,"	2001	52942
conf/sigmod/Galindo-LegariaJ01	orthogon optim subqueri aggreg	galindolegaria joshi	sigmod conference	2001	689
BSlaDX5r0HQJ	orthogon optim subqueri aggreg	galindolegaria joshi	"sigmod conference,"	2001	21813
conf/sigmod/DeshpandeGR01	independ good dependencybas histogram synops highdimension data	deshpande garofalakis rastogi	sigmod conference	2001	691
knAoAIpo7hYJ	independ good dependencybas histogram synops highdimension data	deshpande garofalakis rastogi	"sigmod conference,"	2001	23234
journals/sigmod/Baeza-YatesN96	integr content structur text retriev	baezayates navarro	sigmod record	1996	692
1avO1fqtQ6QJ	integr content structur text retriev	baezayates navarro	"sigmod record,"	1996	54210
journals/sigmod/FreemanG96	lifestream storag model person data	freeman gelernter	sigmod record	1996	693
Em3qp7RGalkJ	lifestream storag model person data	freeman gelernter	"sigmod record,"	1996	52067
journals/sigmod/FreemanG96	lifestream storag model person data	freeman gelernter	sigmod record	1996	693
RzHjAQK7XTsJ	lifestream storag model person data acm sigmod bulletin	freeman gelernter		1996	55441
conf/sigmod/LazaridisM01	progress approxim aggreg queri multiresolut tree structur	lazaridis mehrotra	sigmod conference	2001	694
IvMJ4bK708kJ	progress approxim aggreg queri multiresolut tree structur	lazaridis mehrotra	"sigmod conference,"	2001	38108
journals/sigmod/Wade96	object queri standard	wade	sigmod record	1996	695
AYtrcxExrbkJ	object queri standard	wade	"sigmod record,"	1996	13312
conf/sigmod/BrunoCG01	sthole multidimension workloadawar histogram	bruno chaudhuri gravano	sigmod conference	2001	696
8KJ9XFv1ESAJ	sthole multidimension workloadawar histogram	bruno chaudhuri gravano	"sigmod conference,"	2001	50970
journals/sigmod/UrbanDG96	databas research arizona state univers	urban dietrich golshani	sigmod record	1996	697
url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D381892%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	databas research arizona state univers	urban dietrich golshani	"sigmod record,"	1996	7529
conf/sigmod/Mohan01	applic server bornagain tp monitor web panel abstract	mohan	sigmod conference	2001	698
IGS3TtqfKUgJ	applic server bornagain tp monitor web	mohan	"sigmod record,"	2001	46005
journals/sigmod/Gaffney96	illustra web datablad modul	gaffney	sigmod record	1996	699
uaT2hY6421UJ	lllustra web datablad modul	gaffney	"sigmod record,"	1996	3607
conf/sigmod/YuMWL01	effici effect metasearch text databas incorpor linkag among document	meng liu	sigmod conference	2001	702
h95306-8rjEJ	effici effect metasearch text databas incorpor linkag among document	meng liu	"sigmod conference,"	2001	55135
journals/sigmod/Qian96	shutdown budget fund	qian	sigmod record	1996	703
NiswbODuzhAJ	shutdown budget fund	qian	"sigmod record,"	1996	7203
conf/sigmod/WynblattN01	network databas data manag highli distribut system	navas wynblatt	sigmod conference	2001	708
PVUtZWBcxlAJ	network databas data manag highli distribut system	navas wynblatt	"sigmod conference,"	2001	10951
journals/sigmod/AbelTK97	integr model system environment manag inform system	abel taylor kuo	sigmod record	1997	709
yK-yqVAiXekJ	integr model system environment manag inform system	abel taylor kuo	"sigmod record,"	1997	52852
journals/sigmod/KaradimitriouT97	minmax compress method medic imag databas	karadimitriou tyler	sigmod record	1997	713
SrCBkHnIFL8J	minmax compress method medic imag databas	karadimitriou tyler	"sigmod record,"	1997	14794
conf/sigmod/ZhangNDLL01	support contain queri relat databas manag system	zhang naughton dewitt luo lohman	sigmod conference	2001	714
ryaV3kTsJ2IJ	support contain queri relat databas manag system	zhang naughton dewitt luo lohman	"sigmod conference,"	2001	63387
journals/sigmod/BunemanRU97	mediat languag  propos standard	buneman raschid ullman	sigmod record	1997	716
5qg4BNiroqMJ	mediat languagesa propos standard	buneman raschid ullman	"sigmod record,"	1997	45317
conf/sigmod/AgrawalCN01	materi view index select tool microsoft sql server 2000	agrawal chaudhuri narasayya	sigmod conference	2001	717
2Ua-pWTof_YJ	materi view index select tool microsoft sql server 2000	agrawal chaudhuri narasayya	"sigmod conference,"	2001	23192
journals/sigmod/Gardels97	open gi onlin environment librari	gardels	sigmod record	1997	718
PlitMluIJyYJ	open gi onlin environment librari	gardels	"sigmod record,"	1997	37426
journals/sigmod/Ioannidis96	dynam inform visual	ioannidis	sigmod record	1996	721
IgQsVaud8BIJ	dynam inform visual	ioannidis	"acm sigmod record,"	1996	33670
conf/sigmod/HristidisKP01	prefer system effici execut multiparametr rank queri	hristidis koudas papakonstantinou	sigmod conference	2001	724
mg9ABNG06O4J	prefer system effici execut multiparametr rank queri	hristidis koudas papakonstantinou	"sigmod conference,"	2001	50021
journals/sigmod/Qian97	opportun inform manag assur	qian	sigmod record	1997	725
url:http://portal.acm.org/citation.cfm%3Fid%3D248603.248618%26dl%3DGUIDE%26dl%3DACM%26idx%3DJ689%26part%3Dperiodical%26WantType%3Dperiodical%26title%3DACM%2520SIGMOD%2520Record%26CFID%3D11111111%26CFTOKEN%3D2222222	opportun inform manag assur	qian	"acm sigmod record,"	1997	41451
journals/sigmod/DoanPSB97	queri preview network inform system case studi nasa environment data	doan plaisant shneiderman bruns	sigmod record	1997	727
fdM1W8iEk_YJ	queri preview network inform system case studi nasa environment data	doan plaisant shneiderman bruns	"acm sigmod record,"	1997	53588
conf/sigmod/IpeirotisGS01	probe count classifi categor hidden web databas	ipeirotis gravano sahami	sigmod conference	2001	728
bo7ArXlXypQJ	probe count classifi categor hidden web databas	ipeirotis gravano sahami	"sigmod conference,"	2001	38272
conf/sigmod/DoanDH01	reconcil schema dispar data sourc machinelearn approach	doan domingos halevy	sigmod conference	2001	731
Lv0bggWzgeoJ	reconcil schema dispar data sourc machinelearn approach	doan domingos halevy	"sigmod conference,"	2001	27002
conf/sigmod/KeoghCMP01	local adapt dimension reduct index larg time seri databas	keogh chakrabarti mehrotra pazzani	sigmod conference	2001	733
QTzuiNlMnR4J	local adapt dimension reduct index larg time seri databas	keogh chakrabarti mehrotra pazzani	"sigmod conference,"	2001	10942
journals/sigmod/HasanMV96	appli databas visual world wide web	hasan mendelzon vista	sigmod record	1996	734
bLbjFFkQJdIJ	appli databas visual world wide web	hasan mendelzon vista	"sigmod record,"	1996	32101
journals/sigmod/KennedyMB96	framework inform visualis	kennedy mitchell barclay	sigmod record	1996	735
vBYtmDEYeK0J	framework inform visualis	kennedy mitchell barclay	"sigmod record,"	1996	29239
journals/sigmod/RafanelliBT96	aggreg data problem system definit manag	rafanelli bezenchek tininini	sigmod record	1996	738
MfWZUBAVPFUJ	aggreg data problem system definit manag	rafanelli bezenchek tininini	"sigmod record,"	1996	42135
conf/sigmod/WhitneyS01	lot tick realtim high perform time seri queri billion trade quot	whitney shasha	sigmod conference	2001	741
bZj9gl0_YUIJ	lot otick real time high perform time seri queri billion trade quot	whitney shasha	"sigmod conference,"	2001	45812
journals/sigmod/Darwen96	repli domain relat religi war	darwen	sigmod record	1996	743
url:http://portal.acm.org/citation.cfm%3Fid%3D245882.245886%26dl%3DGUIDE%26dl%3DACM%26idx%3DJ689%26part%3Dperiodical%26WantType%3Dperiodical%26title%3DACM%2520SIGMOD%2520Record%26CFID%3D11111111%26CFTOKEN%3D2222222	repli domain relat religi war	darwen	"acm sigmod record,"	1996	52831
journals/sigmod/Keim96	pixelori databas visual	keim	sigmod record	1996	746
AF9vuEJOr6cJ	databas visual	keim	"sigmod conference,"	1996	35328
journals/sigmod/Keim96	pixelori databas visual	keim	sigmod record	1996	746
vkUvhZOw-1YJ	pixelori databas visual	keim	"sigmod record,"	1996	41139
journals/sigmod/SantucciT96	tabl tabl hypertabular answer	santucci tarantino	sigmod record	1996	748
url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D245898%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	tabl tabl hypertabular answer	santucci tarantino	"sigmod record,"	1996	8113
conf/sigmod/WuAA01	use golden rule sampl queri estim	agrawal abbadi	sigmod conference	2001	749
QKlyEeIFW24J	appli golden rule sampl queri estim	agrawal abbadi	"proceedings of the 2001 acm sigmod international conference  &hellip;,"	2001	2037
conf/sigmod/GehrkeKS01	comput correl aggreg continu data stream	gehrke korn srivastava	sigmod conference	2001	751
f6JFkfhawW8J	comput correl aggreg continu data stream	gehrke korn srivastava	"sigmod conference,"	2001	14733
journals/sigmod/Ahlberg96	spotfir inform explor environ	ahlberg	sigmod record	1996	752
4bBje8qkHVgJ	spotfir inform explor environ	ahlberg	"sigmod record,"	1996	7056
journals/sigmod/Eisenberg96	new standard store procedur sql	eisenberg	sigmod record	1996	753
url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D245907%26type%3Dpdf%26coll%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	new standard store procedur	eisenberg	"sigmod record,"	1996	44500
journals/sigmod/Eisenberg96	new standard store procedur sql	eisenberg	sigmod record	1996	753
tFbkjO2wcFMJ	new standard store procedur sql	eisenberg	"acm sigmod record,"	1996	57536
journals/sigmod/Eisenberg96	new standard store procedur sql	eisenberg	sigmod record	1996	753
ODNMCIJO6xMJ	new standard store procedur sol	eisenherg		1996	59000
conf/sigmod/AggarwalY00	find gener project cluster high dimension space	aggarwal	sigmod conference	2000	754
dfSPs7YoyWsJ	find gener project cluster high dimension space	aggarwal	"sigmod conference,"	2000	39087
journals/sigmod/Bhashyam96	tcpd  challeng issu result	bhashyam	sigmod record	1996	755
url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D245908%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	tpcdthe challeng issu result	bhashyam	"sigmod record,"	1996	31562
conf/sigmod/Lomet00	high speed onlin backup use logic log oper	lomet	sigmod conference	2000	757
FiPJDs_jm54J	high speed onlin backup use logic log oper	lomet	"sigmod conference,"	2000	12783
journals/sigmod/Sidell96	mariposa distribut databas manag system	sidell	sigmod record	1996	759
url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D245906%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	mariposa distribut databas manag system	sidell	"sigmod record,"	1996	39375
conf/sigmod/LabioWGG00	effici resumpt interrupt warehous load	labio wiener garciamolina gorelik	sigmod conference	2000	760
EhR3fz7f7vcJ	effici resumpt interrupt warehous load	labio wiener garciamolina gorelik	"sigmod conference,"	2000	7930
journals/sigmod/Camps96	domain relat religi war	camps	sigmod record	1996	761
mDj9X3EN9ycJ	domain relat religi war	rcamp	"sigmod record,"	1996	27766
journals/sigmod/ZobelMR96	guidelin present comparison index techniqu	zobel moffat ramamohanarao	sigmod record	1996	763
6NbNX8nSta0J	guidelin present comparison index techniqu	zobel moffat ramamohanarao	"sigmod record,"	1996	32491
journals/sigmod/Qian96b	new program darpa nsf	qian	sigmod record	1996	766
url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D245909%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	new program darpa nsf	qian	"sigmod record,"	1996	3401
conf/sigmod/ChoSG00	find replic web collect	cho shivakumar garciamolina	sigmod conference	2000	769
ilJdCU_qODkJ	find replic web collect	cho shivakumar garciamolina	"sigmod conference,"	2000	26435
journals/sigmod/MedskerCS95	comparison three user interfac relat microcomput data base	medsker christensen song	sigmod record	1995	770
url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D202673%26type%3Dpdf%26coll%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	comparison three user interfac relat microcomput data base	medsker christensen song	"sigmod record,"	1995	58420
conf/sigmod/OhHP00	effici costeffect techniqu brows index larg video databas	hua	sigmod conference	2000	771
T91d5LI-xIwJ	effici costeffect techniqu brows index larg video databas	hua	"proc. of 2000 acm sigmod intl. conf. on management of data,"	2000	42887
journals/sigmod/DogacAOD95	implement aspect objectori dbm	dogac altinel ozkan durusoy	sigmod record	1995	774
oUOuTMrB0esJ	implement aspect objectori dbm	dogac altinel ozkan durusoy	"sigmod record,"	1995	4430
conf/sigmod/GunopulosKTD00	approxim multidimension aggreg rang queri real attribut	gunopulos kollios tsotras domeniconi	sigmod conference	2000	777
ASfROcKWFmgJ	approxim multidimension aggreg rang queri real attribut	gunopulos kollios tsotras domeniconi	"sigmod conference,"	2000	16167
journals/sigmod/Hanna95	close look ifo data model	hanna	sigmod record	1995	778
EKqpEdn3kDMJ	close look ifo data model	hanna	"sigmod record,"	1995	30918
journals/sigmod/Chaudhri95	annot bibliographi benchmark object databas	chaudhri	sigmod record	1995	779
DY6x1fDAy9EJ	annot bibliographi benchmark object databas	chaudhri	"sigmod record,"	1995	14911
conf/sigmod/AcharyaGP00	congression sampl approxim answer groupbi queri	acharya gibbons poosala	sigmod conference	2000	780
WGWZ2cNZW2YJ	congression sampl approxim answer groupbi queri	acharya gibbons poosala	"sigmod conference,"	2000	2313
conf/sigmod/WaasG00	count enumer sampl execut plan costbas queri optim	waas galindolegaria	sigmod conference	2000	781
xnoCdNeQykAJ	count enumer sampl execut plan costbas queri optim	waas galindolegaria	"sigmod conference,"	2000	56174
journals/sigmod/JaegerF95	annot bibliographi activ databas	jaeger freytag	sigmod record	1995	782
oacFELqmw0cJ	annot bibliographi activ databas short version	jaeger freytag	"sigmod-record,"	1995	1451
conf/sigmod/WattezCBFF00	benchmark queri tree learn hard truth hard way	wattez cluet benzaken ferran fiegel	sigmod conference	2000	783
1SA9LhktHsUJ	benchmark queri tree learn hard truth hard way	wattez cluet benzaken ferran fiegel	"acm sigmod record,"	2000	50140
journals/sigmod/YanG95	inform find digit librari stanford perspect	yan garciamolina	sigmod record	1995	786
tMXkkRDxvkQJ	inform find digit librari stanford perspect	yan garciamolina	"sigmod record,"	1995	51043
journals/sigmod/Qian95a	turmoil nasa numer fund announc	qian	sigmod record	1995	787
